Dues by size band,,,,,,
"Ruling 11: larger chapters pay more and carry more votes. Nothing here is decided - the bands, the shares and the amounts are the committee's to set.",,,,,,
,,,,,,
Band,Chapters,Share per chapter,Dues per chapter - standard,Dues per chapter - with nonprofit programs,Band total - standard,Band total - with nonprofit programs
Small,1,1,852.75,602.60,852.75,602.60
Medium,1,2,1705.51,1205.21,1705.51,1205.21
Large,1,3,2558.26,1807.81,2558.26,1807.81
Total chapters,3,,,,,
Total shares,6,,,,,
Total dues collected,,,,,5116.52,3615.63
,,,,,,
"Example: with one chapter in each band and shares of 1, 2 and 3, the large chapter pays three times what the small one pays.",,,,,,
